Pickup Location,Drop Location,Total_Bookings,Completed_Bookings,Cancelled_Bookings,Revenue,Avg_Ride_Distance,Avg_Booking_Value,Completion_Rate,Cancellation_Rate
ITO,Tagore Garden,11,7,3,2379.0,19.72,339.86,63.64,27.27
AIIMS,Subhash Nagar,11,7,1,3241.0,23.36,426.75,63.64,9.09
Hauz Khas,Kirti Nagar,11,4,4,2452.0,13.4,481.0,36.36,36.36
Sarai Kale Khan,Sonipat,11,9,1,4788.0,20.14,528.1,81.82,9.09
Madipur,Udyog Vihar Phase 4,11,5,3,2610.0,15.38,511.83,45.45,27.27
Yamuna Bank,Palam Vihar,11,7,3,5064.0,15.02,697.62,63.64,27.27
Moolchand,Paharganj,11,9,2,6399.0,27.04,711.0,81.82,18.18
Adarsh Nagar,Lok Kalyan Marg,11,7,4,2340.0,25.0,334.29,63.64,36.36
Model Town,Lal Quila,11,7,3,4166.0,20.04,560.75,63.64,27.27
Kaushambi,Karol Bagh,11,7,2,1756.0,20.74,319.56,63.64,18.18
Pragati Maidan,Golf Course Road,11,6,5,3777.0,20.22,629.5,54.55,45.45
Connaught Place,Chhatarpur,11,7,3,2130.0,22.64,304.29,63.64,27.27
Hauz Khas,Mandi House,11,8,1,3670.0,20.17,443.9,72.73,9.09
Udyog Vihar Phase 4,Sarai Kale Khan,11,7,3,2236.0,27.26,313.62,63.64,27.27
Rajiv Nagar,Patel Chowk,11,6,4,2520.0,24.4,420.0,54.55,36.36
Moolchand,Anand Vihar,11,10,1,6287.0,30.82,628.7,90.91,9.09
Rajiv Nagar,Shastri Park,11,9,2,4470.0,20.36,496.67,81.82,18.18
Basai Dhankot,Anand Vihar ISBT,11,6,3,2558.0,28.62,438.14,54.55,27.27
Okhla,Hauz Khas,11,4,4,1422.0,24.21,315.4,36.36,36.36
Yamuna Bank,Keshav Puram,11,8,2,2789.0,17.32,348.62,72.73,18.18
Janakpuri,Ashok Vihar,11,5,4,3259.0,22.63,589.0,45.45,36.36
Pragati Maidan,Shastri Park,11,8,3,4453.0,27.18,556.62,72.73,27.27
Azadpur,Janakpuri,11,6,2,3044.0,17.43,543.38,54.55,18.18
Rajouri Garden,Ghitorni Village,11,9,1,4495.0,18.22,472.3,81.82,9.09
Hauz Khas,Keshav Puram,11,5,2,1994.0,24.26,370.38,45.45,18.18
Pragati Maidan,Palam Vihar,11,5,4,2182.0,14.73,444.17,45.45,36.36
Civil Lines Gurgaon,Noida Sector 62,11,4,5,899.0,13.48,437.17,36.36,45.45
Pataudi Chowk,Subhash Nagar,11,8,3,4643.0,21.44,580.38,72.73,27.27
Pataudi Chowk,Jasola,11,5,5,2890.0,28.34,494.17,45.45,45.45
Civil Lines Gurgaon,Mayur Vihar,11,8,2,6009.0,24.26,751.12,72.73,18.18
Hauz Khas,Laxmi Nagar,11,6,4,3059.0,30.3,509.83,54.55,36.36
Sadar Bazar Gurgaon,Greater Noida,11,9,1,3227.0,22.28,358.56,81.82,9.09
Sarai Kale Khan,Meerut,11,6,4,1459.0,18.54,229.14,54.55,36.36
Kaushambi,Khan Market,11,7,1,4307.0,29.73,669.12,63.64,9.09
Cyber Hub,Ardee City,11,3,6,1825.0,16.01,608.33,27.27,54.55
Uttam Nagar,Mayur Vihar,11,9,2,4982.0,28.49,553.56,81.82,18.18
Madipur,South Extension,11,5,1,4358.0,20.31,753.75,45.45,9.09
Adarsh Nagar,Model Town,11,7,2,3545.0,22.76,497.62,63.64,18.18
Subhash Chowk,IMT Manesar,11,9,0,3737.0,22.49,468.7,81.82,0.0
Noida Sector 62,Panipat,11,8,1,3760.0,24.32,468.11,72.73,9.09
ITO,Vidhan Sabha,11,5,4,2103.0,28.17,478.5,45.45,36.36
Moolchand,Vishwavidyalaya,11,5,2,2297.0,23.35,396.86,45.45,18.18
Pragati Maidan,Tughlakabad,11,6,3,2481.0,30.24,429.62,54.55,27.27
Tagore Garden,Dilshad Garden,11,6,3,2206.0,24.71,367.67,54.55,27.27
AIIMS,Basai Dhankot,11,8,3,4032.0,23.34,504.0,72.73,27.27
Connaught Place,Badarpur,11,7,1,4862.0,18.01,619.78,63.64,9.09
Uttam Nagar,Kalkaji,11,8,1,3638.0,15.76,454.75,72.73,9.09
Adarsh Nagar,Khandsa,11,8,3,3071.0,19.69,383.88,72.73,27.27
Vasant Kunj,Vidhan Sabha,11,10,1,4060.0,33.43,406.0,90.91,9.09
Gurgaon Sector 29,Jama Masjid,11,6,3,3055.0,27.06,444.71,54.55,27.27
Sarai Kale Khan,New Delhi Railway Station,11,4,4,2568.0,32.67,525.2,36.36,36.36
Gurgaon Sector 29,Moolchand,11,5,3,2723.0,24.88,470.57,45.45,27.27
Lal Quila,Old Gurgaon,11,7,2,2534.0,21.36,325.5,63.64,18.18
Inderlok,Mayur Vihar,11,8,1,3575.0,21.62,492.0,72.73,9.09
Ashok Vihar,Basai Dhankot,10,9,0,9280.0,24.78,1031.11,90.0,0.0
Saket A Block,Noida Film City,10,7,2,2111.0,16.28,301.57,70.0,20.0
Gwal Pahari,Udyog Vihar,10,7,1,4617.0,17.4,659.57,70.0,10.0
Nehru Place,Chandni Chowk,10,4,5,2149.0,21.15,449.4,40.0,50.0
Moolchand,Khan Market,10,6,3,3096.0,27.06,546.29,60.0,30.0
Pragati Maidan,Chirag Delhi,10,6,3,5530.0,34.23,921.67,60.0,30.0
RK Puram,Paschim Vihar,10,7,3,2083.0,32.52,297.57,70.0,30.0
Ashok Vihar,Chirag Delhi,10,4,3,3354.0,22.95,702.2,40.0,30.0
South Extension,Indraprastha,10,9,1,4474.0,26.77,497.11,90.0,10.0
Bahadurgarh,Munirka,10,9,1,5531.0,28.16,614.56,90.0,10.0
Jahangirpuri,Chirag Delhi,10,9,1,3695.0,20.66,410.56,90.0,10.0
Gurgaon Sector 56,Ardee City,10,7,3,5705.0,29.93,815.0,70.0,30.0
Nawada,Welcome,10,6,2,2855.0,21.43,464.38,60.0,20.0
Gurgaon Sector 56,Azadpur,10,5,3,3284.0,25.62,613.83,50.0,30.0
Central Secretariat,Khan Market,10,7,1,3571.0,28.33,510.14,70.0,10.0
Ghitorni Village,Laxmi Nagar,10,7,3,1784.0,24.64,254.86,70.0,30.0
Indirapuram,Kalkaji,10,8,1,3178.0,26.77,370.78,80.0,10.0
Udyog Vihar,Keshav Puram,10,6,4,1950.0,26.23,325.0,60.0,40.0
Anand Vihar ISBT,Connaught Place,10,7,1,4149.0,26.81,562.89,70.0,10.0
Janakpuri,Khandsa,10,5,4,1439.0,27.2,287.8,50.0,40.0
Sultanpur,Qutub Minar,10,9,1,6830.0,31.36,758.89,90.0,10.0
Gurgaon Sector 56,Greater Kailash,10,5,3,2677.0,30.34,535.4,50.0,30.0
AIIMS,Panchsheel Park,10,4,5,1806.0,18.62,451.5,40.0,50.0
Vaishali,Vatika Chowk,10,5,4,4746.0,33.1,949.2,50.0,40.0
Keshav Puram,Vasant Kunj,10,8,1,5575.0,26.51,643.67,80.0,10.0
Gurgaon Sector 56,Gwal Pahari,10,6,4,3936.0,30.01,656.0,60.0,40.0
Nirman Vihar,Uttam Nagar,10,7,3,3844.0,27.81,549.14,70.0,30.0
Sonipat,Bahadurgarh,10,5,5,3067.0,26.34,613.4,50.0,50.0
Khandsa,Khan Market,10,7,2,4567.0,16.47,652.43,70.0,20.0
Gwal Pahari,Raj Nagar Extension,10,8,2,5000.0,29.45,625.0,80.0,20.0
Civil Lines Gurgaon,Gurgaon Sector 56,10,4,5,2823.0,33.19,705.75,40.0,50.0
Gurgaon Sector 56,Indirapuram,10,7,2,4544.0,21.96,597.12,70.0,20.0
Lok Kalyan Marg,DLF Phase 3,10,7,1,3674.0,19.83,462.33,70.0,10.0
Rohini,Sarojini Nagar,10,8,1,3326.0,19.4,421.78,80.0,10.0
Nirman Vihar,Sushant Lok,10,6,2,2193.0,26.2,336.71,60.0,20.0
Anand Vihar ISBT,Mansarovar Park,10,5,3,3477.0,32.62,676.5,50.0,30.0
South Extension,Kashmere Gate,10,6,2,3979.0,22.4,758.57,60.0,20.0
Jor Bagh,New Delhi Railway Station,10,7,3,2373.0,25.1,339.0,70.0,30.0
Pulbangash,Tilak Nagar,10,7,3,3392.0,17.89,484.57,70.0,30.0
Nehru Place,Kanhaiya Nagar,10,6,4,2384.0,36.98,397.33,60.0,40.0
Yamuna Bank,Rajiv Chowk,10,6,2,2747.0,30.62,457.83,60.0,20.0
Tagore Garden,Rohini West,10,6,3,2844.0,18.94,485.86,60.0,30.0
Ashok Vihar,Ashram,10,7,2,1995.0,23.57,279.88,70.0,20.0
Connaught Place,Dwarka Sector 21,10,7,3,2253.0,17.75,321.86,70.0,30.0
Saidulajab,Vidhan Sabha,10,4,5,1071.0,18.41,391.6,40.0,50.0
Anand Vihar ISBT,Greater Kailash,10,4,5,1758.0,26.22,433.2,40.0,50.0
RK Puram,Subhash Nagar,10,7,0,4021.0,21.02,611.78,70.0,0.0
Mayur Vihar,Chanakyapuri,10,8,2,3340.0,31.91,417.5,80.0,20.0
Dilshad Garden,Mayur Vihar,10,5,5,3135.0,29.93,627.0,50.0,50.0
Civil Lines Gurgaon,Gurgaon Sector 29,10,7,3,4487.0,22.9,641.0,70.0,30.0
Sarai Kale Khan,Lok Kalyan Marg,10,4,5,1487.0,22.33,315.0,40.0,50.0
Chandni Chowk,Welcome,10,8,0,4115.0,29.73,514.38,80.0,0.0
Mayur Vihar,Bhikaji Cama Place,10,6,4,2672.0,29.29,445.33,60.0,40.0
Nehru Place,Janakpuri,10,4,4,1122.0,23.38,318.0,40.0,40.0
Karkarduma,Pulbangash,10,5,3,2544.0,34.54,508.8,50.0,30.0
Tughlakabad,Arjangarh,10,7,2,4086.0,31.28,522.0,70.0,20.0
Adarsh Nagar,Samaypur Badli,10,8,1,4002.0,25.68,500.25,80.0,10.0
Nawada,Preet Vihar,10,9,1,3277.0,28.06,364.11,90.0,10.0
Nawada,AIIMS,10,5,2,2324.0,17.42,419.33,50.0,20.0
Mayur Vihar,Sarojini Nagar,10,10,0,5200.0,30.44,520.0,100.0,0.0
Noida Sector 62,Rajouri Garden,10,7,3,5792.0,21.69,827.43,70.0,30.0
Karol Bagh,Ghaziabad,10,6,1,4053.0,20.64,632.29,60.0,10.0
Huda City Centre,Janakpuri,10,8,1,6953.0,28.22,869.12,80.0,10.0
Udyog Vihar,Rajouri Garden,10,6,2,4331.0,17.37,705.38,60.0,20.0
Mayur Vihar,Samaypur Badli,10,7,1,7188.0,17.85,954.22,70.0,10.0
Delhi Gate,New Colony,10,5,1,2980.0,20.8,464.57,50.0,10.0
Anand Vihar,IGNOU Road,10,5,2,2383.0,23.94,476.6,50.0,20.0
Noida Extension,Subhash Chowk,10,7,2,4237.0,21.19,550.62,70.0,20.0
Malviya Nagar,Mandi House,10,6,4,3368.0,21.88,561.33,60.0,40.0
Aya Nagar,Vaishali,10,6,2,2374.0,29.16,508.43,60.0,20.0
IMT Manesar,Udyog Vihar Phase 4,10,5,0,2423.0,18.69,596.29,50.0,0.0
Vaishali,Azadpur,10,4,6,4125.0,28.9,1031.25,40.0,60.0
Huda City Centre,Madipur,10,8,2,3349.0,22.71,418.62,80.0,20.0
Tis Hazari,Rohini East,10,3,3,2059.0,29.92,686.33,30.0,30.0
Indirapuram,Dwarka Sector 21,10,9,1,5359.0,30.33,595.44,90.0,10.0
Anand Vihar,Kadarpur,10,7,2,3533.0,17.03,623.38,70.0,20.0
Kirti Nagar,Chandni Chowk,10,7,3,6623.0,32.99,946.14,70.0,30.0
Saidulajab,Rajiv Nagar,10,7,2,4257.0,19.5,557.0,70.0,20.0
Delhi Gate,Moolchand,10,9,1,5239.0,23.07,582.11,90.0,10.0
Basai Dhankot,Hauz Khas,10,4,4,3267.0,25.83,816.75,40.0,40.0
Jahangirpuri,Mandi House,10,8,0,1730.0,19.98,216.25,80.0,0.0
Anand Vihar,AIIMS,10,7,1,6779.0,15.89,915.5,70.0,10.0
Panipat,Jor Bagh,10,7,3,3030.0,24.14,432.86,70.0,30.0
Noida Film City,Ardee City,10,7,2,3398.0,14.79,485.43,70.0,20.0
Huda City Centre,Botanical Garden,10,7,2,3496.0,30.32,507.75,70.0,20.0
Pulbangash,Greater Noida,10,7,3,7472.0,29.27,1067.43,70.0,30.0
Sohna Road,GTB Nagar,10,5,4,3915.0,24.15,664.5,50.0,40.0
Kalkaji,DLF Phase 3,10,9,0,3134.0,19.77,343.7,90.0,0.0
Noida Extension,Vidhan Sabha,10,10,0,5335.0,20.7,533.5,100.0,0.0
Govindpuri,Ardee City,10,8,1,4174.0,31.84,521.75,80.0,10.0
Saket A Block,Vasant Kunj,10,8,2,2890.0,22.82,361.25,80.0,20.0
Vatika Chowk,Chirag Delhi,10,4,5,1344.0,19.24,336.0,40.0,50.0
Inderlok,DLF City Court,10,3,6,1525.0,19.96,539.5,30.0,60.0
Kashmere Gate ISBT,DLF Phase 3,10,5,3,4219.0,17.36,817.17,50.0,30.0
Delhi Gate,Model Town,10,9,1,3843.0,24.92,427.0,90.0,10.0
Shastri Nagar,Janakpuri,10,8,2,4624.0,25.55,578.0,80.0,20.0
Mehrauli,Tughlakabad,10,5,4,2235.0,23.57,618.33,50.0,40.0
Panipat,Ghaziabad,10,6,3,6801.0,28.25,1008.86,60.0,30.0
Welcome,Malviya Nagar,10,6,3,2901.0,32.04,483.5,60.0,30.0
Ramesh Nagar,India Gate,10,3,5,1740.0,26.09,511.75,30.0,50.0
Shahdara,Malviya Nagar,10,6,3,4599.0,29.76,766.5,60.0,30.0
Lok Kalyan Marg,Ghitorni,10,5,3,1628.0,16.92,540.33,50.0,30.0
Huda City Centre,Qutub Minar,10,7,3,4020.0,33.51,574.29,70.0,30.0
Noida Extension,Mundka,10,7,3,3372.0,14.49,481.71,70.0,30.0
Malviya Nagar,Rithala,10,4,4,2607.0,28.65,602.0,40.0,40.0
AIIMS,Sultanpur,10,5,3,3378.0,24.87,712.33,50.0,30.0
Rohini,Gwal Pahari,10,8,2,7453.0,23.58,931.62,80.0,20.0
Anand Vihar,RK Puram,10,10,0,5394.0,24.34,539.4,100.0,0.0
Saidulajab,Subhash Nagar,10,9,0,6278.0,26.41,718.1,90.0,0.0
Rithala,Mayur Vihar,10,7,0,4112.0,22.83,554.38,70.0,0.0
Central Secretariat,Dilshad Garden,10,5,5,3384.0,26.99,676.8,50.0,50.0
Noida Sector 62,Subhash Chowk,10,8,2,2758.0,21.9,344.75,80.0,20.0
Moolchand,Netaji Subhash Place,10,4,3,1454.0,25.05,494.2,40.0,30.0
Gurgaon Sector 29,South Extension,10,6,2,4768.0,30.1,794.67,60.0,20.0
Noida Extension,MG Road,10,6,3,3278.0,35.18,509.86,60.0,30.0
Rohini West,Badarpur,10,7,2,2857.0,26.18,408.14,70.0,20.0
Jor Bagh,Punjabi Bagh,10,8,0,4018.0,23.02,503.67,80.0,0.0
Kalkaji,Khandsa,10,7,0,3632.0,22.69,469.78,70.0,0.0
Chhatarpur,Greater Noida,10,3,6,1230.0,13.25,410.0,30.0,60.0
Moolchand,Lok Kalyan Marg,10,7,2,3131.0,24.25,545.0,70.0,20.0
Connaught Place,Madipur,10,4,3,827.0,20.4,206.75,40.0,30.0
Mehrauli,Karol Bagh,10,6,4,2242.0,18.37,373.67,60.0,40.0
Sonipat,Ashok Vihar,10,7,1,2963.0,23.08,406.75,70.0,10.0
Anand Vihar,New Colony,10,6,3,2326.0,30.91,387.67,60.0,30.0
Paharganj,Laxmi Nagar,10,6,3,4721.0,18.8,795.14,60.0,30.0
Delhi Gate,RK Puram,10,6,1,2515.0,27.33,382.0,60.0,10.0
Kirti Nagar,Meerut,10,7,1,3558.0,23.49,508.29,70.0,10.0
Sarai Kale Khan,Sultanpur,10,6,3,3694.0,23.69,568.0,60.0,30.0
Chhatarpur,Jhilmil,10,6,3,4528.0,19.99,768.57,60.0,30.0
Ashok Vihar,Meerut,10,5,3,2289.0,16.09,398.71,50.0,30.0
Malviya Nagar,Meerut,10,7,1,4136.0,25.16,491.22,70.0,10.0
Hauz Khas,Barakhamba Road,10,5,4,1523.0,33.8,304.6,50.0,40.0
Saket A Block,Ramesh Nagar,10,6,3,3613.0,17.57,602.17,60.0,30.0
Chhatarpur,India Gate,10,6,3,3463.0,32.29,559.0,60.0,30.0
Golf Course Road,Jama Masjid,10,6,3,2477.0,23.86,369.71,60.0,30.0
Golf Course Road,India Gate,10,5,5,2804.0,18.85,560.8,50.0,50.0
Udyog Vihar,Pitampura,10,6,3,2475.0,23.7,412.5,60.0,30.0
Connaught Place,Nehru Place,10,8,2,2780.0,26.46,347.5,80.0,20.0
Huda City Centre,Noida Sector 62,10,5,3,2397.0,21.02,517.0,50.0,30.0
Moolchand,Preet Vihar,10,7,3,3060.0,22.97,437.14,70.0,30.0
Vasant Kunj,Dwarka Mor,10,8,0,3228.0,19.4,572.3,80.0,0.0
Chhatarpur,Hauz Khas,10,2,5,997.0,13.54,398.67,20.0,50.0
Azadpur,IGI Airport,10,6,3,4482.0,30.17,747.0,60.0,30.0
Bahadurgarh,Hero Honda Chowk,10,4,4,1915.0,21.22,478.75,40.0,40.0
Ardee City,Uttam Nagar,10,8,2,4198.0,19.06,524.75,80.0,20.0
Kirti Nagar,Yamuna Bank,10,8,2,6921.0,27.8,865.12,80.0,20.0
Kashmere Gate ISBT,Patel Chowk,10,5,3,3294.0,22.79,561.17,50.0,30.0
Jor Bagh,Khan Market,10,6,4,3192.0,23.75,532.0,60.0,40.0
Kanhaiya Nagar,Saket,10,4,4,1946.0,16.86,516.0,40.0,40.0
Janakpuri,Inderlok,10,6,4,6399.0,25.86,1066.5,60.0,40.0
Chanakyapuri,Pataudi Chowk,10,7,2,5338.0,27.39,762.57,70.0,20.0
Manesar,Akshardham,10,6,3,2031.0,17.46,338.5,60.0,30.0
Kanhaiya Nagar,Green Park,10,4,4,1814.0,19.38,422.6,40.0,40.0
Sadar Bazar Gurgaon,Jor Bagh,10,7,2,2886.0,16.72,412.29,70.0,20.0
Kanhaiya Nagar,Sikanderpur,10,4,4,1652.0,21.65,491.2,40.0,40.0
Qutub Minar,India Gate,10,6,2,3564.0,32.19,619.14,60.0,20.0
Sikanderpur,Saket,10,7,2,3678.0,23.4,525.43,70.0,20.0
Ardee City,Vishwavidyalaya,10,7,3,4450.0,23.0,635.71,70.0,30.0
Chandni Chowk,Green Park,10,5,3,3184.0,19.54,580.43,50.0,30.0
GTB Nagar,Chirag Delhi,10,4,5,1582.0,18.72,461.4,40.0,50.0
Khan Market,Paschim Vihar,10,6,2,6382.0,22.92,1063.67,60.0,20.0
Shastri Nagar,Barakhamba Road,10,6,2,2876.0,32.21,515.38,60.0,20.0
Azadpur,Moti Nagar,10,8,1,5406.0,17.55,675.75,80.0,10.0
AIIMS,Ghaziabad,10,6,3,1543.0,16.47,233.57,60.0,30.0
Pitampura,Ashok Vihar,10,7,3,3683.0,17.79,526.14,70.0,30.0
Moolchand,Faridabad Sector 15,10,9,0,4617.0,23.81,523.2,90.0,0.0
Shahdara,Bhikaji Cama Place,10,5,5,2359.0,33.32,471.8,50.0,50.0
Rohini West,Jama Masjid,10,5,4,2444.0,15.66,488.8,50.0,40.0
Sultanpur,Hauz Khas,10,6,0,2934.0,30.76,546.5,60.0,0.0
Tagore Garden,Gurgaon Railway Station,10,5,4,1733.0,19.43,319.0,50.0,40.0
Chanakyapuri,Mayur Vihar,10,8,1,4701.0,19.81,587.62,80.0,10.0
Azadpur,Lajpat Nagar,10,4,4,2390.0,18.83,726.0,40.0,40.0
IGI Airport,Punjabi Bagh,10,8,2,5854.0,32.85,731.75,80.0,20.0
Vishwavidyalaya,Sadar Bazar Gurgaon,10,4,3,1967.0,19.38,491.0,40.0,30.0
Shahdara,Gurgaon Sector 56,10,6,3,2419.0,28.08,403.17,60.0,30.0
Shivaji Park,India Gate,10,6,2,3123.0,12.64,441.12,60.0,20.0
AIIMS,Ghitorni,10,6,3,3982.0,29.31,663.67,60.0,30.0
Vishwavidyalaya,Rohini,10,5,3,1927.0,25.12,360.17,50.0,30.0
Tagore Garden,Maidan Garhi,10,7,3,3861.0,28.96,551.57,70.0,30.0
New Delhi Railway Station,Subhash Nagar,10,3,4,2236.0,22.01,665.8,30.0,40.0
Udyog Bhawan,Raj Nagar Extension,10,6,3,2154.0,36.69,400.43,60.0,30.0
Inderlok,Sonipat,10,7,2,4453.0,19.96,636.14,70.0,20.0
Rohini,Preet Vihar,10,9,1,4050.0,30.9,450.0,90.0,10.0
Ardee City,Saket,10,8,1,3461.0,30.77,470.0,80.0,10.0
GTB Nagar,Maidan Garhi,10,5,3,1519.0,28.74,302.0,50.0,30.0
Subhash Chowk,Kadarpur,10,5,1,2267.0,12.03,500.0,50.0,10.0
Punjabi Bagh,Saket A Block,10,7,2,5285.0,20.56,755.0,70.0,20.0
Punjabi Bagh,Samaypur Badli,10,5,2,1400.0,24.59,340.57,50.0,20.0
New Delhi Railway Station,Arjangarh,10,5,2,2048.0,18.48,528.25,50.0,20.0
Model Town,Madipur,10,6,1,3527.0,19.74,587.83,60.0,10.0
Shastri Park,Kirti Nagar,10,6,2,2204.0,27.32,367.33,60.0,20.0
Tagore Garden,India Gate,10,7,3,2912.0,15.9,416.0,70.0,30.0
Arjangarh,IGI Airport,10,5,4,6953.0,32.49,1390.6,50.0,40.0
Rajouri Garden,IIT Delhi,10,8,1,3151.0,29.78,420.56,80.0,10.0
Kanhaiya Nagar,Kaushambi,10,8,2,5065.0,24.51,633.12,80.0,20.0
Lok Kalyan Marg,Ramesh Nagar,10,3,7,1612.0,8.81,537.33,30.0,70.0
Indraprastha,Gurgaon Sector 56,10,5,3,3275.0,17.78,692.71,50.0,30.0
New Delhi Railway Station,IIT Delhi,10,8,2,3062.0,18.79,382.75,80.0,20.0
GTB Nagar,Ardee City,10,7,3,3230.0,24.55,461.43,70.0,30.0
New Delhi Railway Station,Ashram,10,5,4,4073.0,30.22,707.5,50.0,40.0
Gwal Pahari,Govindpuri,10,6,3,2355.0,40.23,392.5,60.0,30.0
Model Town,Noida Extension,10,7,2,4399.0,28.05,628.43,70.0,20.0
Faridabad Sector 15,Moti Nagar,10,5,4,1792.0,32.05,358.4,50.0,40.0
Satguru Ram Singh Marg,IMT Manesar,10,8,2,6729.0,24.25,841.12,80.0,20.0
Peeragarhi,Udyog Vihar,10,5,2,2275.0,20.04,505.14,50.0,20.0
Sonipat,RK Puram,10,7,2,1569.0,24.02,224.14,70.0,20.0
Manesar,Lok Kalyan Marg,10,7,3,4033.0,23.52,576.14,70.0,30.0
Indraprastha,Dwarka Mor,10,6,1,3146.0,18.0,408.11,60.0,10.0
Rajouri Garden,Hauz Rani,10,7,3,5398.0,32.47,771.14,70.0,30.0
Sonipat,Dilshad Garden,10,7,1,2883.0,22.01,400.62,70.0,10.0
Subhash Chowk,Jasola,10,8,0,3895.0,25.43,451.5,80.0,0.0
Indraprastha,Bahadurgarh,10,6,2,4105.0,25.15,639.12,60.0,20.0
Saket,Khan Market,10,9,1,6596.0,31.95,732.89,90.0,10.0
Faridabad Sector 15,Vishwavidyalaya,10,9,0,5630.0,23.95,625.56,90.0,0.0
Dwarka Sector 21,Vinobapuri,10,5,4,1855.0,28.8,363.67,50.0,40.0
Badshahpur,Punjabi Bagh,10,4,1,2049.0,28.45,517.0,40.0,10.0
Satguru Ram Singh Marg,Gurgaon Railway Station,10,5,3,2621.0,24.1,574.67,50.0,30.0
Palam Vihar,Rajiv Nagar,10,7,0,4173.0,24.87,563.25,70.0,0.0
Qutub Minar,Greater Noida,10,6,4,2930.0,24.84,488.33,60.0,40.0
Indraprastha,Chandni Chowk,10,6,3,3538.0,32.05,566.29,60.0,30.0
New Colony,Sarojini Nagar,10,6,3,4921.0,18.02,820.17,60.0,30.0
Faridabad Sector 15,South Extension,10,5,3,4251.0,21.88,783.33,50.0,30.0
Udyog Bhawan,INA Market,10,8,1,3902.0,22.22,487.75,80.0,10.0
Badshahpur,Mehrauli,10,6,1,2690.0,30.1,470.71,60.0,10.0
Khan Market,Sohna Road,10,6,3,3037.0,31.49,506.17,60.0,30.0
IGNOU Road,Preet Vihar,10,6,4,3870.0,32.96,645.0,60.0,40.0
Saket,Manesar,10,7,3,5139.0,17.47,734.14,70.0,30.0
Rithala,Anand Vihar ISBT,10,9,1,2935.0,24.1,326.11,90.0,10.0
Vishwavidyalaya,Gwal Pahari,10,6,3,3499.0,32.52,525.71,60.0,30.0
Sohna Road,Satguru Ram Singh Marg,10,6,1,3094.0,16.78,570.62,60.0,10.0
Udyog Bhawan,Shivaji Park,10,7,1,4850.0,23.81,692.86,70.0,10.0
Welcome,Ardee City,10,5,4,1844.0,36.01,368.8,50.0,40.0
Dwarka Mor,Kanhaiya Nagar,10,7,2,3058.0,28.12,462.62,70.0,20.0
Shahdara,Inderlok,10,6,3,3977.0,25.46,662.83,60.0,30.0
Pragati Maidan,Kherki Daula Toll,10,8,1,3207.0,20.87,400.88,80.0,10.0
Rohini West,Preet Vihar,10,5,1,1748.0,18.25,458.57,50.0,10.0
Mansarovar Park,New Colony,10,8,1,4103.0,24.92,512.88,80.0,10.0
Shastri Park,Noida Sector 62,10,6,3,3119.0,31.88,519.83,60.0,30.0
Chanakyapuri,DLF City Court,10,4,5,1492.0,22.5,365.4,40.0,50.0
Okhla,Kashmere Gate ISBT,10,7,3,2748.0,23.66,392.57,70.0,30.0
Mandi House,Gwal Pahari,10,7,0,4522.0,18.75,524.1,70.0,0.0
Mansarovar Park,Lok Kalyan Marg,10,8,1,2714.0,32.46,339.25,80.0,10.0
Okhla,Khan Market,10,8,2,5126.0,28.86,640.75,80.0,20.0
Netaji Subhash Place,Greater Kailash,10,5,4,1439.0,27.88,287.8,50.0,40.0
Vatika Chowk,Govindpuri,10,5,3,2173.0,26.04,470.67,50.0,30.0
Vidhan Sabha,Sohna Road,10,6,3,3429.0,32.64,525.14,60.0,30.0
Mansarovar Park,Mandi House,10,4,4,2229.0,35.79,557.25,40.0,40.0
Model Town,INA Market,10,6,2,3818.0,29.16,611.14,60.0,20.0
Indraprastha,Pataudi Chowk,10,7,1,2167.0,22.98,295.38,70.0,10.0
Gurgaon Sector 56,Netaji Subhash Place,10,6,1,2734.0,23.63,493.14,60.0,10.0
Kalkaji,Sohna Road,10,9,1,5543.0,27.17,615.89,90.0,10.0
AIIMS,Mandi House,10,5,2,1814.0,19.99,342.5,50.0,20.0
Chandni Chowk,Sarai Kale Khan,10,7,1,5780.0,27.09,742.12,70.0,10.0
Nirman Vihar,Nawada,10,5,4,3665.0,24.45,733.0,50.0,40.0
Rajouri Garden,Malviya Nagar,10,7,2,3540.0,20.46,505.71,70.0,20.0
Punjabi Bagh,Ashok Vihar,10,4,5,2651.0,20.47,662.75,40.0,50.0
IFFCO Chowk,Rohini East,10,7,2,3310.0,28.64,472.86,70.0,20.0
Panchsheel Park,Hauz Rani,10,6,3,2669.0,25.55,510.57,60.0,30.0
IFFCO Chowk,Sarai Kale Khan,10,8,2,3513.0,24.91,439.12,80.0,20.0
Khan Market,Ashram,10,5,5,2896.0,29.75,579.2,50.0,50.0
Nehru Place,Vaishali,10,6,3,3079.0,12.15,479.57,60.0,30.0
Indirapuram,Okhla,10,9,1,5636.0,24.35,626.22,90.0,10.0
Moti Nagar,Ardee City,10,7,2,3115.0,34.11,445.0,70.0,20.0
Shastri Park,INA Market,10,7,1,4612.0,21.85,612.0,70.0,10.0
Anand Vihar ISBT,Rajouri Garden,10,6,4,3916.0,32.58,652.67,60.0,40.0
Khandsa,Gurgaon Sector 29,10,5,5,3162.0,14.7,632.4,50.0,50.0
Lok Kalyan Marg,IGNOU Road,10,9,0,5899.0,22.92,655.44,90.0,0.0
Lal Quila,Laxmi Nagar,10,5,3,5168.0,25.72,1033.6,50.0,30.0
